Local Government Area,State/Territory,Age Group,Population
Adelaide,SA,0 - 4,561
Adelaide,SA,5 - 9,335
Adelaide,SA,10 - 14,335
Adelaide,SA,15 - 19,1372
Adelaide,SA,20 - 24,4272
Adelaide,SA,25 - 29,2919
Adelaide,SA,30 - 34,1823
Adelaide,SA,35 - 39,1328
Adelaide,SA,40 - 44,1028
Adelaide,SA,45 - 49,1075
Adelaide,SA,50 - 54,1062
Adelaide,SA,55 - 59,1045
Adelaide,SA,60 - 64,1115
Adelaide,SA,65 - 69,706
Adelaide,SA,70 - 74,505
Adelaide,SA,75 - 79,356
Adelaide,SA,80 - 84,316
Adelaide,SA,85 and over,372
Adelaide Hills,SA,0 - 4,2298
Adelaide Hills,SA,5 - 9,2587
Adelaide Hills,SA,10 - 14,2774
Adelaide Hills,SA,15 - 19,2957
Adelaide Hills,SA,20 - 24,2207
Adelaide Hills,SA,25 - 29,1526
Adelaide Hills,SA,30 - 34,1831
Adelaide Hills,SA,35 - 39,2688
Adelaide Hills,SA,40 - 44,3100
Adelaide Hills,SA,45 - 49,3293
Adelaide Hills,SA,50 - 54,3316
Adelaide Hills,SA,55 - 59,3137
Adelaide Hills,SA,60 - 64,2845
Adelaide Hills,SA,65 - 69,1857
Adelaide Hills,SA,70 - 74,1231
Adelaide Hills,SA,75 - 79,832
Adelaide Hills,SA,80 - 84,612
Adelaide Hills,SA,85 and over,549
Albany,WA,0 - 4,2136
Albany,WA,5 - 9,2212
Albany,WA,10 - 14,2586
Albany,WA,15 - 19,2350
Albany,WA,20 - 24,1863
Albany,WA,25 - 29,1728
Albany,WA,30 - 34,1898
Albany,WA,35 - 39,2172
Albany,WA,40 - 44,2418
Albany,WA,45 - 49,2490
Albany,WA,50 - 54,2469
Albany,WA,55 - 59,2298
Albany,WA,60 - 64,2022
Albany,WA,65 - 69,1673
Albany,WA,70 - 74,1439
Albany,WA,75 - 79,1146
Albany,WA,80 - 84,904
Albany,WA,85 and over,714
Albury,NSW,0 - 4,3266
Albury,NSW,5 - 9,3054
Albury,NSW,10 - 14,3247
Albury,NSW,15 - 19,3793
Albury,NSW,20 - 24,3762
Albury,NSW,25 - 29,3338
Albury,NSW,30 - 34,3056
Albury,NSW,35 - 39,3169
Albury,NSW,40 - 44,3159
Albury,NSW,45 - 49,3303
Albury,NSW,50 - 54,3357
Albury,NSW,55 - 59,2954
Albury,NSW,60 - 64,2637
Albury,NSW,65 - 69,2027
Albury,NSW,70 - 74,1651
Albury,NSW,75 - 79,1341
Albury,NSW,80 - 84,1106
Albury,NSW,85 and over,1002
Alexandrina,SA,0 - 4,1344
Alexandrina,SA,5 - 9,1274
Alexandrina,SA,10 - 14,1424
Alexandrina,SA,15 - 19,1469
Alexandrina,SA,20 - 24,986
Alexandrina,SA,25 - 29,926
Alexandrina,SA,30 - 34,1066
Alexandrina,SA,35 - 39,1400
Alexandrina,SA,40 - 44,1427
Alexandrina,SA,45 - 49,1609
