local_area,state_id,area_size
Albury,NSW,305.93
Armidale Dumaresq,NSW,4230.83
Ashfield,NSW,8.28
Auburn,NSW,32.48
Ballina,NSW,484.72
Balranald,NSW,21693.12
Bankstown,NSW,76.8
Bathurst Regional,NSW,3816.43
Bega Valley,NSW,6278.96
Bellingen,NSW,1600.38
Berrigan,NSW,2065.93
Blacktown,NSW,240.1
Bland,NSW,8557.71
Blayney,NSW,1524.88
Blue Mountains,NSW,1431.15
Bogan,NSW,14600.48
Bombala,NSW,3946.57
Boorowa,NSW,2577.97
Botany Bay,NSW,21.69
Bourke,NSW,41604.45
Brewarrina,NSW,19165.18
Broken Hill,NSW,170.29
Burwood,NSW,7.13
Byron,NSW,565.85
Cabonne,NSW,6023.93
Camden,NSW,201.26
Campbelltown,NSW,312.14
Canada Bay,NSW,19.89
Canterbury,NSW,33.56
Carrathool,NSW,18932.5
Central Darling,NSW,53493.81
Cessnock,NSW,1965.41
Clarence Valley,NSW,10428.77
Cobar,NSW,45571.01
Coffs Harbour,NSW,1173.74
Conargo,NSW,8737.94
Coolamon,NSW,2430.93
Cooma-Monaro,NSW,5184.54
Coonamble,NSW,9915.85
Cootamundra,NSW,1523.75
Corowa Shire,NSW,2329.25
Cowra,NSW,2808.67
Deniliquin,NSW,143.19
Dubbo,NSW,3425.68
Dungog,NSW,2250.02
Eurobodalla,NSW,3428.17
Fairfield,NSW,101.52
Forbes,NSW,4718.07
Gilgandra,NSW,4832.01
Glen Innes Severn,NSW,5480.36
Gloucester,NSW,2950.17
Gosford,NSW,941.06
Goulburn Mulwaree,NSW,3220.01
Great Lakes,NSW,3373.33
Greater Hume Shire,NSW,5749.28
Greater Taree,NSW,3729.05
Griffith,NSW,1639.94
Gundagai,NSW,2457.14
Gunnedah,NSW,4987.41
Guyra,NSW,4389.55
Gwydir,NSW,9262.36
Harden,NSW,1868.25
Hawkesbury,NSW,2774.64
Hay,NSW,11326.02
Holroyd,NSW,40.18
Hornsby,NSW,462.11
Hunters Hill,NSW,5.72
Hurstville,NSW,22.72
Inverell,NSW,8594.94
Jerilderie,NSW,3373.05
Junee,NSW,2030.0
Kempsey,NSW,3375.67
Kiama,NSW,257.74
Kogarah,NSW,15.55
Ku-ring-gai,NSW,85.4
Kyogle,NSW,3584.02
Lachlan,NSW,14965.41
Lake Macquarie,NSW,647.99
Lane Cove,NSW,10.48
Leeton,NSW,1166.95
Leichhardt,NSW,10.55
Lismore,NSW,1287.79
Lithgow,NSW,4511.85
Liverpool,NSW,305.43
Liverpool Plains,NSW,5082.31
Lockhart,NSW,2895.85
Maitland,NSW,391.52
Manly,NSW,14.36
Marrickville,NSW,16.52
Mid-Western Regional,NSW,8752.79
Moree Plains,NSW,17905.95
Mosman,NSW,8.65
Murray,NSW,4344.45
Murrumbidgee,NSW,3506.68
Muswellbrook,NSW,3404.99
Nambucca,NSW,1491.35
Narrabri,NSW,13014.07
Narrandera,NSW,4116.24
Narromine,NSW,5260.39
Newcastle,NSW,186.77
North Sydney,NSW,10.47
Oberon,NSW,3626.88
Orange,NSW,283.94
Palerang,NSW,5146.79
Parkes,NSW,5954.92
Parramatta,NSW,61.36
Penrith,NSW,404.63
Pittwater,NSW,90.33
Port Macquarie-Hastings,NSW,3683.02
Port Stephens,NSW,858.47
Queanbeyan,NSW,172.36
Randwick,NSW,36.33
Richmond Valley,NSW,3047.39
Rockdale,NSW,28.22
Ryde,NSW,40.47
Shellharbour,NSW,147.36
Shoalhaven,NSW,4567.02
Singleton,NSW,4892.83
Snowy River,NSW,6030.38
Strathfield,NSW,13.9
Sutherland Shire,NSW,333.58
Sydney,NSW,26.73
Tamworth Regional,NSW,9884.22
Temora,NSW,2802.02
Tenterfield,NSW,7322.27
The Hills Shire,NSW,400.45
Tumbarumba,NSW,4392.46
Tumut Shire,NSW,4566.63
Tweed,NSW,1307.44
Upper Hunter Shire,NSW,8096.06
Upper Lachlan Shire,NSW,7127.46
Uralla,NSW,3226.46
Urana,NSW,3356.0
Wagga Wagga,NSW,4825.87
Wakool,NSW,7520.47
Walcha,NSW,6261.29
Walgett,NSW,22308.46
Warren,NSW,10753.82
Warringah,NSW,149.35
Warrumbungle Shire,NSW,12371.08
Waverley,NSW,9.24
Weddin,NSW,3408.55
Wellington,NSW,4110.09
Wentworth,NSW,26256.73
Willoughby,NSW,22.43
Wingecarribee,NSW,2688.39
Wollondilly,NSW,2555.93
Wollongong,NSW,683.94
Woollahra,NSW,12.27
Wyong,NSW,739.8
Yass Valley,NSW,3998.05
Young,NSW,2692.68
Unincorporated NSW,NSW,0.0
Alpine,VIC,4788.23
Ararat,VIC,4211.36
Ballarat,VIC,739.03
Banyule,VIC,62.54
Bass Coast,VIC,864.76
Baw Baw,VIC,4031.28
Bayside,VIC,37.21
Benalla,VIC,2352.64
Boroondara,VIC,60.18
Brimbank,VIC,123.4
Buloke,VIC,8000.4
Campaspe,VIC,4518.86
Cardinia,VIC,1281.68
Casey,VIC,409.42
Central Goldfields,VIC,1532.78
Colac-Otway,VIC,3437.48
Corangamite,VIC,4407.55
Darebin,VIC,53.47
East Gippsland,VIC,20941.49
Frankston,VIC,129.6
Gannawarra,VIC,3735.34
Glen Eira,VIC,38.69
Glenelg,VIC,6218.29
Golden Plains,VIC,2703.43
Greater Bendigo,VIC,2999.98
Greater Dandenong,VIC,129.6
Greater Geelong,VIC,1247.89
Greater Shepparton,VIC,2421.95
Hepburn,VIC,1472.98
Hindmarsh,VIC,7524.18
Hobsons Bay,VIC,64.24
Horsham,VIC,4267.06
Hume,VIC,503.83
Indigo,VIC,2040.07
Kingston,VIC,91.37
Knox,VIC,113.83
Latrobe,VIC,1425.76
Loddon,VIC,6696.44
Macedon Ranges,VIC,1748.28
Manningham,VIC,113.35
Mansfield,VIC,3843.92
Maribyrnong,VIC,31.23
Maroondah,VIC,61.41
Melbourne,VIC,37.36
Melton,VIC,527.56
Mildura,VIC,22082.48
Mitchell,VIC,2862.43
Moira,VIC,4046.55
Monash,VIC,81.5
Moonee Valley,VIC,43.14
Moorabool,VIC,2110.62
Moreland,VIC,50.95
Mornington Peninsula,VIC,724.07
Mount Alexander,VIC,1529.62
Moyne,VIC,5481.75
Murrindindi,VIC,3879.4
