Name,Suburb,Postcode,School Level
Abbotsford Public School,Abbotsford ,2046,Primary School
Aberdeen Public School,Aberdeen,2336,Primary School
Abermain Public School,Abermain ,2326,Primary School
Adaminaby Public School,ADAMINABY,2629,Primary School
Adamstown Public School,Adamstown ,2289,Primary School
Adelong Public School,Adelong ,2729,Primary School
Albion Park Public School,Albion Park ,2527,Primary School
Timbumburi Public School,Timbumburi ,2340,Primary School
Albury Public School,Albury ,2640,Primary School
Albury West Public School,Albury ,2640,Primary School
Alma Public School,Broken Hill ,2880,Primary School
Alstonville Public School,Alstonville ,2477,Primary School
Anna Bay Public School,Anna Bay ,2316,Primary School
Annandale Public School,Annandale ,2038,Primary School
Annandale North Public School,Annandale ,2038,Primary School
Appin Public School,APPIN,2560,Primary School
Arcadia Public School,ARCADIA,2159,Primary School
Ardlethan Central School,Ardlethan ,2665,Central/Community School
Ariah Park Central School,Ariah Park ,2665,Central/Community School
Armidale City Public School,Armidale ,2350,Primary School
Drummond Memorial Public School,ARMIDALE,2350,Primary School
Artarmon Public School,Artarmon ,2064,Primary School
Ashbury Public School,Ashbury,2193,Primary School
Ashfield Public School,Ashfield ,2131,Primary School
Ashford Central School,Ashford ,2361,Central/Community School
Asquith Public School,Asquith,2077,Primary School
Attunga Public School,Attunga ,2345,Primary School
Auburn North Public School,Auburn ,2144,Primary School
Auburn West Public School,Auburn ,2144,Primary School
Austinmer Public School,Austinmer ,2515,Primary School
Austral Public School,AUSTRAL,2179,Primary School
Avoca Public School,Avoca,2577,Primary School
Avoca Beach Public School,Avoca Beach,2251,Primary School
Awaba Public School,Awaba,2283,Primary School
Colo Vale Public School,Colo Vale ,2575,Primary School
Bald Blair Public School,Guyra ,2365,Primary School
Seaforth Public School,Seaforth ,2092,Primary School
Balgownie Public School,Balgownie ,2519,Primary School
Ballimore Public School,Ballimore ,2830,Primary School
Ballina Public School,Ballina ,2478,Primary School
Balranald Central School,Balranald,2715,Central/Community School
Bangalow Public School,Bangalow ,2479,Primary School
Banksmeadow Public School,Botany ,2019,Primary School
Greenacre Public School,Greenacre,2190,Primary School
Bankstown North Public School,Bankstown ,2200,Primary School
Banora Point Public School,Banora Point ,2486,Primary School
Baradine Central School,Baradine,2396,Central/Community School
Barellan Central School,Barellan ,2665,Central/Community School
Bargo Public School,Bargo ,2574,Primary School
Barham Public School,Barham,2732,Primary School
Barkers Vale Public School,Wadeville ,2474,Primary School
Barmedman Public School,Barmedman ,2668,Primary School
Barnsley Public School,Barnsley ,2278,Primary School
Barooga Public School,Barooga ,3644,Primary School
Barraba Central School,Barraba ,2347,Central/Community School
Barrington Public School,Barrington ,2422,Primary School
Baryulgil Public School,Baryulgil ,2460,Primary School
Bass Hill Public School,Bass Hill ,2197,Primary School
Batemans Bay Public School,Surfside,2536,Primary School
Bathurst Public School,Bathurst ,2795,Primary School
Batlow Technology School,Batlow ,2730,Central/Community School
Beckom Public School,Beckom ,2665,Primary School
Bedgerabong Public School,BEDGERABONG,2871,Primary School
Beechwood Public School,Wauchope ,2446,Primary School
Beecroft Public School,Beecroft ,2119,Primary School
Beelbangera Public School,Beelbangera ,2680,Primary School
Bega Valley Public School,Bega ,2550,Primary School
Bellata Public School,Bellata ,2397,Primary School
Bellbird Public School,BELLBIRD,2325,Primary School
Bellbrook Public School,Bellbrook,2440,Primary School
Bellevue Hill Public School,Bellevue Hill ,2023,Primary School
Bellingen Public School,Bellingen ,2454,Primary School
Belltrees Public School,Belltrees ,2337,Primary School
Belmont Public School,Belmont ,2280,Primary School
Belmore North Public School,Belmore ,2192,Primary School
Belmore South Public School,Belmore ,2192,Primary School
Bemboka Public School,Bemboka ,2550,Primary School
Bendemeer Public School,Bendemeer ,2355,Primary School
Ben Lomond Public School,Ben Lomond ,2365,Primary School
Ben Venue Public School,Armidale ,2350,Primary School
Berala Public School,Berala,2141,Primary School
Beresfield Public School,Beresfield,2322,Primary School
Berkeley Public School,Berkeley ,2506,Primary School
Berkeley Vale Public School,Berkeley Vale ,2259,Primary School
Bermagui Public School,Bermagui ,2546,Primary School
Berowra Public School,Berowra,2081,Primary School
Berridale Public School,Berridale ,2628,Primary School
Berrigan Public School,Berrigan ,2712,Primary School
Berrima Public School,Berrima ,2577,Primary School
Berry Public School,Berry ,2535,Primary School
Beverly Hills Public School,Beverly Hills,2209,Primary School
Bexhill Public School,Bexhill,2480,Primary School
Bigga Public School,Bigga ,2583,Primary School
Bilambil Public School,Bilambil ,2486,Primary School
Ocean Shores Public School,OCEAN SHORES,2483,Primary School
Bilpin Public School,Bilpin ,2758,Primary School
Binalong Public School,BINALONG,2584,Primary School
Binda Public School,Binda ,2583,Primary School
Bingara Central School,Bingara ,2404,Central/Community School
Binnaway Central School,Binnaway,2395,Central/Community School
Binya Public School,Binya,2665,Primary School
Birchgrove Public School,Balmain ,2041,Primary School
Blackheath Public School,Blackheath ,2785,Primary School
Black Hill Public School,Black Hill ,2322,Primary School
Black Mountain Public School,Black Mountain ,2365,Primary School
Blackville Public School,Blackville ,2343,Primary School
Blakebrook Public School,Blakebrook ,2480,Primary School
Blakehurst Public School,Blakehurst ,2221,Primary School
Blandford Public School,Blandford ,2338,Primary School
Blaxcell Street Public School,Granville,2142,Primary School
Blaxland Public School,Blaxland,2774,Primary School
Blayney Public School,Blayney ,2799,Primary School
Blighty Public School,Blighty ,2713,Primary School
Boambee Public School,Boambee,2450,Primary School
Bobin Public School,Bobin ,2429,Primary School
Bobs Farm Public School,Bobs Farm,2316,Primary School
Bodalla Public School,Bodalla ,2545,Primary School
Bogan Gate Public School,Bogan Gate,2876,Primary School
Boggabilla Central School,Boggabilla ,2409,Central/Community School
Boggabri Public School,Boggabri ,2382,Primary School
Bolwarra Public School,Bolwarra ,2320,Primary School
Bomaderry Public School,Bomaderry ,2541,Primary School
Bombala Public School,Bombala,2632,Primary School
Bonalbo Central School,Bonalbo,2469,Central/Community School
Bondi Beach Public School,Bondi Beach ,2026,Primary School
Bongongo Public School,Adjungbilly,2727,Primary School
Bonshaw Public School,Bonshaw ,2361,Primary School
Bonville Public School,Bonville ,2441,Primary School
Boolaroo Public School,Boolaroo ,2284,Primary School
Booligal Public School,Booligal ,2711,Primary School
Boomi Public School,Boomi ,2405,Primary School
Booral Public School,Booral ,2425,Primary School
Boorowa Central School,Boorowa ,2586,Central/Community School
Boree Creek Public School,Boree Creek ,2652,Primary School
Boronia Park Public School,HUNTERS HILL,2110,Primary School
Bossley Park Public School,Bossley Park ,2176,Primary School
Botany Public School,Botany ,2019,Primary School
