Name,Suburb,Postcode
Lighthouse Christian School,North Rockhampton,4701
Allora P-10 State School,Allora,4362
Bald Hills State School,Bald Hills,4036
Fraser Coast Anglican College,Wondunna,4655
Beenleigh State School,Beenleigh,4207
Yeronga State School,Yeronga,4104
Tamborine Mountain College,North Tamborine,4272
Bowen State School,Bowen,4805
Windsor State School,Windsor,4030
Toowong State School,Toowong,4066
Southern Cross Catholic College (Scarborough),Scarborough,4020
Brookfield State School,Brookfield,4069
Bulimba State School,Bulimba,4171
Bundaberg Central State School,Bundaberg Central,4670
Bundamba State School,Bundamba,4304
Calliope State School,Calliope,4680
Clermont State School,Clermont,4721
Cleveland State School,Cleveland,4163
Ormiston State School,Ormiston,4160
Condamine State School,Condamine,4416
Acacia Ridge State School,Acacia Ridge,4110
Mitchell State School,Mitchell,4465
Dalby State School,Dalby,4405
Ramsay State School,Ramsay,4358
Drayton State School,Drayton,4350
Coowonga State School,Coowonga,4702
Hendra State School,Hendra,4011
Eight Mile Plains State School,Eight Mile Plains,4113
Enoggera State School,Enoggera,4051
Fig Tree Pocket State School,Fig Tree Pocket,4069
Albert State School,Maryborough,4650
Woongoolba State School,Woongoolba,4207
Freestone State School,Freestone,4370
Gatton State School,Gatton,4343
Gayndah State School,Gayndah,4625
Nundah State School,Nundah,4012
Gladstone Central State School,Gladstone Central,4680
Goodna State School,Goodna,4300
Goondiwindi State School,Goondiwindi,4390
Gracemere State School,Gracemere,4702
Gympie Central State School,Gympie,4570
Gilston State School,Gilston,4211
One Mile State School,Gympie,4570
Helidon State School,Helidon,4344
Highfields State School,Highfields,4352
Geham State School,Geham,4352
Inglewood State School,Inglewood,4387
Bouldercombe State School,Bouldercombe,4702
Gunalda State School,Gunalda,4570
Ipswich Central State School,Ipswich,4305
Craigslea State School,Chermside West,4032
Ipswich North State School,North Ipswich,4305
Sunnybank State School,Sunnybank,4109
Isisford State School,Isisford,4731
Jondaryan State School,Jondaryan,4403
Biggera Waters State School,Biggera Waters,4216
Lakes Creek State School,Lakes Creek,4701
Leyburn State School,Leyburn,4365
Logan Reserve State School,Logan Reserve,4133
Loganholme State School,Loganholme,4129
Mackay Central State School,Mackay,4740
Maryborough Central State School,Maryborough,4650
Moggill State School,Moggill,4070
Osborne State School,Osborne,4806
Mount Perry State School,Mount Perry,4671
Murphy's Creek State School,Murphys Creek,4352
Nanango State School,Nanango,4615
Sherwood State School,Sherwood,4075
Oxley State School,Oxley,4075
Petrie Terrace State School,Paddington,4064
Pimpama State School,Pimpama,4209
Western Cape College - Mapoon,Mapoon,4874
Gabbinbar State School,Centenary Heights,4350
Kenmore SHS - Special Education Program,Kenmore,4069
Peak Crossing State School,Peak Crossing,4306
Redbank Plains State School,Redbank Plains,4301
Lockyer District SHS - Special Education Program,Gatton,4343
Islamic College of Brisbane,Karawatha,4117
Rolleston State School,Rolleston,4702
Samford State School,Samford Village,4520
Ananda Marga River School,Maleny,4552
Dysart State School,Dysart,4745
MacKillop Catholic Primary School (Andergrove),Andergrove,4740
Daisy Hill State School,Daisy Hill,4127
Windsor SS - Special Education Program,Windsor,4030
Springsure State School,Springsure,4722
St Lawrence State School,St Lawrence,4707
Taroom State School,Taroom,4420
Tent Hill Lower State School,Lower Tenthill,4343
Tiaro State School,Tiaro,4650
Ironside State School,St Lucia,4067
Toowoomba North State School,Toowoomba,4350
Goombungee State School,Goombungee,4354
Townsville Central State School,North Ward,4810
Haigslea State School,Haigslea,4306
Amberley District State School,Yamanto,4305
Warwick Central State School,Warwick,4370
Cordalba State School,Cordalba,4660
Dutton Park SS - Special Education Program,Dutton Park,4102
Westwood State School,Westwood,4702
Fairview Heights SS - Special Education Program,Wilsonton,4350
Woodhill State School,Woodhill,4285
Logan Village State School,Logan Village,4207
Coomera State School,Coomera,4209
Morayfield State School,Morayfield,4506
Glenvale State School,Glenvale,4350
Tingalpa State School,Tingalpa,4173
Upper Mount Gravatt State School,Upper Mount Gravatt,4122
Stanwell State School,Stanwell,4702
Waterford State School,Waterford,4133
Rosewood State School,Rosewood,4340
Stanthorpe State School,Stanthorpe,4380
Geebung SPEC S - Early Childhood Development Program,Geebung,4034
St George State School,St George,4487
Cawarral State School,Cawarral,4702
Cardwell State School,Cardwell,4849
Pullenvale State School,Pullenvale,4069
Ravenswood State School,Ravenswood,4816
Surat State School,Surat,4417
Mansfield State School,Mansfield,4122
Roma State College - Junior Campus,Roma,4455
Grandchester State School,Grandchester,4340
Glamorgan Vale State School,Glamorgan Vale,4306
Tambo State School,Tambo,4478
Yangan State School,Yangan,4371
Mutdapilly State School,Mutdapilly,4307
Sandgate State School,Sandgate,4017
Emu Creek State School,East Greenmount,4359
Allenstown State School,Allenstown,4700
Millchester State School,Millchester,4820
Beaudesert State School,Beaudesert,4285
Mudgeeraba Creek State School,Mudgeeraba,4213
Cedar Creek State School,Cedar Creek,4207
Bundaberg North State School,Bundaberg North,4670
Clontarf Beach State School,Clontarf,4019
Killarney P-10 State School,Killarney,4373
Humpybong State School,Margate,4019
Croydon State School,Croydon,4871
Oakey State School,Oakey,4401
Mossman State School,Mossman,4873
Kilkivan State School,Kilkivan,4600
Fernvale State School,Fernvale,4306
Clare State School,Clare,4807
Clinton State School,Clinton,4680
Comet State School,Comet,4702
Noosaville State School,Noosaville,4566
Millmerran State School,Millmerran,4357
Cooktown State School,Cooktown,4895
Georgetown State School,Georgetown,4871
Meringandan State School,Meringandan West,4352
Jinibara State School,Narangba,4504
Tewantin State School,Tewantin,4565
Wallumbilla State School,Wallumbilla,4428
Petrie State School,Petrie,4502
Nebo State School,Nebo,4742
Charleville State School,Charleville,4470
Ashgrove State School,Ashgrove,4060
Begonia State School,Begonia,4487
Albany Creek State School,Albany Creek,4035
Dayboro State School,Dayboro,4521
MacGregor State School,Macgregor,4109
Granville State School,Granville,4650
Robina State High School,Robina,4226
Cambooya State School,Cambooya,4358
Mount Gravatt State School,Mount Gravatt,4122
Esk State School,Esk,4312
Tallebudgera State School,Tallebudgera,4228
Lakeland State School,Lakeland,4871
Marist College (Emerald),Emerald,4720
Jericho State School,Jericho,4728
Brisbane Central State School,Spring Hill,4000
Port Curtis Road State School,Port Curtis,4700
Northern Beaches State High School,Deeragun,4818
West End State School,West End,4101
Halifax State School,Halifax,4850
Charters Towers Central State School,Charters Towers,4820
Tinana State School,Tinana,4650
Mungar State School,Mungar,4650
Nerang State School,Nerang,4211
Coorparoo State School,Coorparoo,4151
Eulo State School,Eulo,4491
Buderim Mountain State School,Buderim,4556
Tivoli State School,Tivoli,4305
Warwick East State School,Warwick,4370
Belmont State School,Carindale,4152
Ferny Grove State School,Ferny Grove,4055
Newmarket State School,Newmarket,4051
Redland Bay State School,Redland Bay,4165
Tannum Sands State High School,Tannum Sands,4680
Healy State School,Healy,4825
Victoria Point State High School,Victoria Point,4165
Edge Hill State School,Edge Hill,4870
St Helens State School,St Helens,4650
Deception Bay State School,Deception Bay,4508
Prenzlau State School,Prenzlau,4311
Palm Beach State School,Palm Beach,4221
Homestead State School,Homestead,4816
Lowood State School,Lowood,4311
Hopevale Campus of CYAAA,Hope Vale,4895
Chinchilla State School,Chinchilla,4413
Thornton State School,Thornton,4341
Silkstone State School,Silkstone,4304
Ferny Hills State School,Ferny Hills,4055
Herberton State School,Moomin,4887
Manly West State School,Manly West,4179
Minimbah State School,Morayfield,4506
Dingo State School,Dingo,4702
Mount Crosby State School,Karana Downs,4306
Saint Stephen's College,Coomera,4209
Noosa Pengari Steiner School,Doonan,4562
Tarampa State School,Tarampa,4311
Mudgeeraba SS - Special Education Program,Mudgeeraba,4213
Wellington Point State School,Wellington Point,4160
Aurukun State School,Aurukun,4892
Zillmere State School,Zillmere,4034
Jamboree Heights State School,Jamboree Heights,4074
Kalkie State School,Kalkie,4670
Carbrook State School,Carbrook,4130
Kolan South State School,South Kolan,4670
Merrimac SHS - Special Education Program,Mermaid Waters,4218
Northgate State School,Nundah,4012
Mount Cotton State School,Mount Cotton,4165
Walloon State School,Walloon,4306
Payne Road State School,The Gap,4061
The Willows State School,Kirwan,4817
