Name,Suburb,Postcode,School Level
East Murray Area School,Mindarie,5309,Primary Schools
Coromandel Valley Primary School,Coromandel Valley,5051,Primary Schools
Glossop High School Senior Campus,Berri,5343,High/Secondary Schools
Cowandilla Primary School,Cowandilla,5033,Primary Schools
Crafers Primary School,Crafers,5152,Primary Schools
Crystal Brook Primary School,Crystal Brook,5523,Primary Schools
Curramulka Primary School,Curramulka,5580,Primary Schools
Murray Bridge Special School,Murray Bridge,5253,Primary Special Schools
Gilles Street Primary School,Adelaide,5000,Primary Schools
Echunga Primary School,Echunga,5153,Primary Schools
Eden Hills Primary School,Eden Hills,5050,Primary Schools
Edwardstown Primary School,Melrose Park,5039,Primary Schools
Elliston Area School,Elliston,5670,Area Schools
Norwood Primary School,Norwood,5067,Primary Schools
Flinders Park Primary School,Flinders Park,5025,Primary Schools
Lenswood Primary School,Lenswood,5240,Primary Schools
Frances Primary School,Frances,5262,Primary Schools
Freeling Primary School,Freeling,5372,Primary Schools
Gawler Primary School,Gawler,5118,Primary Schools
Evanston Gardens Primary School,Evanston Gardens,5116,Primary Schools
Geranium Primary School,Geranium,5301,Primary Schools
Avenues College Beatty Ave Campus,Hillcrest,5086,Primary Schools
Gladstone Primary School,Gladstone,5473,Primary Schools
Glenburnie Primary School,Glenburnie,5291,Primary Schools
Glen Osmond Primary School,Myrtle Bank,5064,Primary Schools
Glossop Primary Community School K-7,Glossop,5344,Primary Schools
Goodwood Primary School,Goodwood,5034,Primary Schools
Goolwa Primary School,Goolwa,5214,Primary Schools
Greenock Primary School,Greenock,5360,Primary Schools
Gumeracha Primary School,Gumeracha,5233,Primary Schools
Hahndorf Primary School,Hahndorf,5245,Primary Schools
Hamley Bridge Primary School,Hamley Bridge,5401,Primary Schools
Rose Park Primary School,Rose Park,5067,Primary Schools
Happy Valley Primary School,Happy Valley,5159,Primary Schools
Hawker Area School,Hawker,5434,Area Schools
Heathfield Primary School,Heathfield,5153,Primary Schools
Henley Beach Primary School,Henley Beach South,5022,Primary Schools
North Adelaide Primary School,North Adelaide,5006,Primary Schools
Jervois Primary School,Jervois,5259,Primary Schools
Youth Education Centre,Cavan,5094,Alternative Sec Schools
Kalangadoo Primary School,Kalangadoo,5278,Primary Schools
Kangarilla Primary School,Kangarilla,5157,Primary Schools
Kapunda Primary School,Kapunda,5373,Primary Schools
Alberton Primary School,Queenstown,5014,Primary Schools
Kersbrook Primary School,Kersbrook,5231,Primary Schools
Keyneton Primary School,Keyneton,5353,Primary Schools
Kilkenny Primary School,West Croydon,5008,Primary Schools
Kingston-on-Murray Primary School,Kingston on Murray,5331,Primary Schools
Aldgate Primary School,Aldgate,5154,Primary Schools
Kongorong Primary School,Kongorong,5291,Primary Schools
Koolunga Primary School,Koolunga,5464,Primary Schools
Mid North Education Centre,Port Pirie,5540,Primary/Secondary Special Schools
Eastern Fleurieu Langhorne Creek Campus,Langhorne Creek,5255,Primary Schools
Largs Bay School,Largs Bay,5016,Primary Schools
Laura Primary School,Laura,5480,Primary Schools
Le Fevre Peninsula Primary School,Birkenhead,5015,Primary Schools
Aldinga Beach B-7 School,Aldinga,5173,Primary Schools
Light Pass Primary School,Light Pass,5355,Primary Schools
Littlehampton Primary School,Littlehampton,5250,Primary Schools
Lobethal Primary School,Lobethal,5241,Primary Schools
Lock Area School,Lock,5633,Area Schools
Lockleys Primary School,Brooklyn Park,5032,Primary Schools
Lyndoch Primary School,Lyndoch,5351,Primary Schools
Macclesfield Primary School,Macclesfield,5153,Primary Schools
Mallala Primary School,Mallala,5502,Primary Schools
Angaston Primary School,Angaston,5353,Primary Schools
Manoora Primary School,Manoora,5414,Primary Schools
Marree Aboriginal School,Marree,5733,Aboriginal Schools
Marryatville Primary School,Kensington,5068,Primary Schools
McLaren Flat Primary School,McLaren Flat,5171,Primary Schools
McLaren Vale Primary School,McLaren Vale,5171,Primary Schools
Meadows Primary School,Meadows,5201,Primary Schools
Melrose Primary School,Melrose,5483,Primary Schools
Angle Vale Primary School,Angle Vale,5117,Primary Schools
Eastern Fleurieu Milang Campus,Milang,5256,Primary Schools
Mil Lel Primary School,Mil-Lel,5291,Primary Schools
Mitcham Primary School,Kingswood,5062,Primary Schools
Modbury School Preschool to Year 7,Modbury North,5092,Primary Schools
Monash Primary School,Monash,5342,Primary Schools
Moorak Primary School,Moorak,5291,Primary Schools
Moorook Primary School,Moorook,5332,Primary Schools
Morgan Primary School,Morgan,5320,Primary Schools
Mount Barker Primary School,Mount Barker,5251,Primary Schools
Mount Burr Primary School,Mount Burr,5279,Primary Schools
