Name,School Level,Suburb,Postcode
Alberton Primary School,Primary,Alberton,3971
Allansford and District Primary School,Primary,Allansford,3277
Avoca Primary School,Primary,Avoca,3467
Avenel Primary School,Primary,Avenel,3664
Warrandyte Primary School,Primary,Warrandyte,3113
Belmont Primary School,Primary,Belmont,3216
Bacchus Marsh Primary School,Primary,Bacchus Marsh,3340
Ballarat Primary School (Dana Street),Primary,Ballarat,3350
Wodonga Primary School,Primary,Wodonga,3690
Berwick Primary School,Primary,Berwick,3806
Beaufort Primary School,Primary,Beaufort,3373
Cheltenham Primary School,Primary,Cheltenham,3192
Cudgee Primary School,Primary,Cudgee,3265
Newport Lakes Primary School,Primary,Newport,3015
Cavendish Primary School,Primary,Cavendish,3314
Colac Primary School,Primary,Colac,3250
Castlemaine Primary School,Primary,Castlemaine,3450
Campbells Creek Primary School,Primary,Campbells Creek,3451
Creswick Primary School,Primary,Creswick,3363
California Gully Primary School,Primary,California Gully,3556
St Andrews Primary School,Primary,St Andrews,3761
Warrnambool West Primary School,Primary,Warrnambool,3280
Dromana Primary School,Primary,Dromana,3936
Doncaster Primary School,Primary,Doncaster,3108
Echuca Primary School,Primary,Echuca,3564
Eltham Primary School,Primary,Eltham,3095
Eaglehawk Primary School,Primary,Eaglehawk,3556
Elphinstone Primary School,Primary,Elphinstone,3448
Hallam Primary School,Primary,Hallam,3803
Flemington Primary School,Primary,Flemington,3031
Footscray Primary School,Primary,Footscray,3011
Gisborne Primary School,Primary,Gisborne,3437
Guildford Primary School,Primary,Guildford,3451
Sandringham Primary School,Primary,Sandringham,3191
Wandiligong Primary School,Primary,Wandiligong,3744
Grovedale Primary School,Primary,Grovedale,3216
Hawthorn West Primary School,Primary,Hawthorn,3122
Heidelberg Primary School,Primary,Heidelberg,3084
Hamilton (Gray Street) Primary School,Primary,Hamilton,3300
Heathcote Primary School,Primary,Heathcote,3523
Highton Primary School,Primary,Highton,3216
Huntly Primary School,Primary,Huntly,3551
Bellbrae Primary School,Primary,Bellbrae,3228
Chiltern Primary School,Primary,Chiltern,3683
Kyneton Primary School,Primary,Kyneton,3444
Romsey Primary School,Primary,Romsey,3434
Shelford Primary School,Primary,Shelford,3329
Lockwood South Primary School,Primary,Lockwood South,3551
Marong Primary School,Primary,Marong,3515
Mount Macedon Primary School,Primary,Mount Macedon,3441
Mount Clear Primary School,Primary,Mount Clear,3350
Melton Primary School,Primary,Melton,3337
Fitzroy Primary School,Primary,Fitzroy,3065
Newstead Primary School,Primary,Newstead,3462
Newlyn Primary School,Primary,Newlyn,3364
Burwood East Primary School,Primary,Burwood East,3151
New Gisborne Primary School,Primary,New Gisborne,3438
Beeac Primary School,Primary,Beeac,3251
Essendon Primary School,Primary,Essendon,3040
Coburg Primary School,Primary,Coburg,3058
Penshurst Primary School,Primary,Penshurst,3289
Myrniong Primary School,Primary,Myrniong,3341
Mernda Primary School,Primary,Mernda,3754
Portland Primary School,Primary,Portland,3305
Stawell Primary School,Primary,Stawell,3380
Rutherglen Primary School,Primary,Rutherglen,3685
Riddells Creek Primary School,Primary,Riddells Creek,3431
Rokewood Primary School,Primary,Rokewood,3330
Geelong East Primary School,Primary,Geelong East,3219
Sale Primary School,Primary,Sale,3850
Skipton Primary School,Primary,Skipton,3361
South Yarra Primary School,Primary,South Yarra,3141
Stratford Primary School,Primary,Stratford,3862
Taradale Primary School,Primary,Taradale,3447
Koroit And District Primary School,Primary,Koroit,3282
Tylden Primary School,Primary,Tylden,3444
Thomastown Primary School,Primary,Thomastown,3074
Wangaratta Primary School,Primary,Wangaratta,3677
Wahgunyah Primary School,Primary,Wahgunyah,3687
Woodend Primary School,Primary,Woodend,3442
Woodford Primary School,Primary,Woodford,3281
Werribee Primary School,Primary,Werribee,3030
Winters Flat Primary School,Primary,Castlemaine,3450
Wooragee Primary School,Primary,Wooragee,3747
Wallan Primary School,Primary,Wallan,3756
Woolsthorpe Primary School,Primary,Woolsthorpe,3276
Yandoit Primary School,Primary,Yandoit,3461
Yarram Primary School,Primary,Yarram,3971
Pleasant Street Primary School (Ballarat),Primary,Lake Wendouree,3350
Yea Primary School,Primary,Yea,3717
Lancefield Primary School,Primary,Lancefield,3435
Coimadai Primary School,Primary,Coimadai,3340
Birregurra Primary School,Primary,Birregurra,3242
Clayton North Primary School,Primary,Clayton,3168
Milawa Primary School,Primary,Milawa,3678
Lockwood Primary School,Primary,Lockwood,3551
Bealiba Primary School,Primary,Bealiba,3475
Bairnsdale Primary School,Primary,Bairnsdale,3875
Gordon Primary School,Primary,Gordon,3345
Hepburn Primary School,Primary,Hepburn,3461
Lara Lake Primary School,Primary,Lara Lake,3212
Rosedale Primary School,Primary,Rosedale,3847
Bright P-12 College,Pri/Sec,Bright,3741
Rochester Primary School,Primary,Rochester,3561
Ararat Primary School,Primary,Ararat,3377
Jamieson Primary School,Primary,Jamieson,3723
Preston South Primary School,Primary,Preston,3072
Omeo Primary School,Primary,Omeo,3898
Harrietville Primary School,Primary,Harrietville,3741
Mordialloc Beach Primary School,Primary,Mordialloc,3195
Healesville Primary School,Primary,Healesville,3777
Lake Bolac College,Pri/Sec,Lake Bolac,3351
Toongabbie Primary School,Primary,Toongabbie,3856
Waubra Primary School,Primary,Waubra,3352
Great Western Primary School,Primary,Great Western,3374
Maffra Primary School,Primary,Maffra,3860
Broken Creek Primary School,Primary,Broken Creek,3673
Lal Lal Primary School,Primary,Lal Lal,3352
Cobden Primary School,Primary,Cobden,3266
St Leonards Primary School,Primary,St Leonards,3223
Lilydale Primary School,Primary,Lilydale,3140
Bendigo Primary School,Primary,Bendigo,3550
Darraweit Guim Primary School,Primary,Darraweit Guim,3756
Linton Primary School,Primary,Linton,3360
Invermay Primary School,Primary,Invermay,3352
Mitta Mitta Primary School,Primary,Mitta Mitta,3701
Camberwell Primary School,Primary,Camberwell,3124
Greenvale Primary School,Primary,Greenvale,3059
Alexandra Primary School,Primary,Alexandra,3714
Rockbank Primary School,Primary,Rockbank,3335
Bannockburn Primary School,Primary,Bannockburn,3331
Doreen Primary School,Primary,Doreen,3754
Talbot Primary School,Primary,Talbot,3371
Yarra Glen Primary School,Primary,Yarra Glen,3775
Elmhurst Primary School,Primary,Elmhurst,3469
Kangaroo Flat Primary School,Primary,Kangaroo Flat,3555
Westmeadows Primary School,Primary,Westmeadows,3049
Sunbury Primary School,Primary,Sunbury,3429
Diamond Creek Primary School,Primary,Diamond Creek,3089
Hesket Primary School,Primary,Hesket,3442
Axedale Primary School,Primary,Axedale,3551
Vermont Primary School,Primary,Vermont,3133
Tarnagulla Primary School,Primary,Tarnagulla,3551
Balwyn Primary School,Primary,Balwyn,3103
Scoresby Primary School,Primary,Scoresby,3179
Carisbrook Primary School,Primary,Carisbrook,3464
Wandin Yallock Primary School,Primary,Wandin North,3139
Yering Primary School,Primary,Yering,3770
Dartmoor Primary School,Primary,Dartmoor,3304
Mickleham Primary School,Primary,Mickleham,3064
Inglewood Primary School,Primary,Inglewood,3517
Chewton Primary School,Primary,Chewton,3451
Bolinda Primary School,Primary,Bolinda,3432
Napoleons Primary School,Primary,Napoleons,3352
Kew Primary School,Primary,Kew,3101
Haddon Primary School,Primary,Haddon,3351
Panmure Primary School,Primary,Panmure,3265
Dargo Primary School,Primary,Dargo,3862
Sorrento Primary School,Primary,Sorrento,3943
Alfredton Primary School,Primary,Alfredton,3350
Bridgewater Primary School,Primary,Bridgewater On Loddon,3516
Hastings Primary School,Primary,Hastings,3915
Yackandandah Primary School,Primary,Yackandandah,3749
Nagambie Primary School,Primary,Nagambie,3608
Heyfield Primary School,Primary,Heyfield,3858
Moorabbin Primary School,Primary,Moorabbin,3189
Mansfield Primary School,Primary,Mansfield,3722
Middle Indigo Primary School,Primary,Indigo Valley,3688
Briagolong Primary School,Primary,Briagolong,3860
Lindenow Primary School,Primary,Lindenow,3865
Broadford Primary School,Primary,Broadford,3658
Murchison Primary School,Primary,Murchison,3610
Panton Hill Primary School,Primary,Panton Hill,3759
Glen Park Primary School,Primary,Glen Park,3352
Concongella Primary School,Primary,CONCONGELLA,3384
Bruthen Primary School,Primary,Bruthen,3885
Swan Hill Primary School,Primary,Swan Hill,3585
Porepunkah Primary School,Primary,Porepunkah,3740
Leopold Primary School,Primary,Leopold,3224
Inverleigh Primary School,Primary,Inverleigh,3321
Glen Iris Primary School,Primary,Glen Iris,3146
Trawalla Primary School,Primary,Trawalla,3373
Quarry Hill Primary School,Primary,Quarry Hill,3550
Sebastopol Primary School,Primary,Sebastopol,3356
Woodside Primary School,Primary,Woodside,3874
Noorat Primary School,Primary,Noorat,3265
Albert Park Primary School,Primary,Albert Park,3206
Williamstown Primary School,Primary,Williamstown,3016
Boneo Primary School,Primary,Boneo,3939
Queenscliff Primary School,Primary,Queenscliff,3225
Portland North Primary School,Primary,Portland North,3305
Timor Primary School,Primary,Timor,3465
Apsley Primary School,Primary,Apsley,3319
Strathfieldsaye Primary School,Primary,Strathfieldsaye,3551
Skye Primary School,Primary,Skye,3977
Tooborac Primary School,Primary,Tooborac,3522
Lucknow Primary School,Primary,Bairnsdale,3875
Upper Plenty Primary School,Primary,Upper Plenty,3756
Carlton North Primary School,Primary,Carlton North,3054
Maldon Primary School,Primary,Maldon,3463
Woori Yallock Primary School,Primary,Woori Yallock,3139
Moyston Primary School,Primary,Moyston,3377
Buninyong Primary School,Primary,Buninyong,3357
Marysville Primary School,Primary,Marysville,3779
Langley Primary School,Primary,Langley,3444
Wandong Primary School,Primary,Wandong,3758
Cowes Primary School,Primary,Cowes,3922
Bullarto Primary School,Primary,Bullarto,3461
Lismore Primary School,Primary,Lismore,3324
Lower Plenty Primary School,Primary,Lower Plenty,3093
Specimen Hill Primary School,Primary,Golden Square,3555
Bolwarra Primary School,Primary,Bolwarra,3305
Navarre Primary School,Primary,Navarre,3384
Warracknabeal Primary School,Primary,Warracknabeal,3393
Moyhu Primary School,Primary,Moyhu,3732
Natte Yallock Primary School,Primary,Natte Yallock,3465
Clifton Hill Primary School,Primary,Clifton Hill,3068
Christmas Hills Primary School,Primary,Christmas Hills,3775
Tallangatta Primary School,Primary,Tallangatta,3700
Kialla Central Primary School,Primary,Kialla,3631
Mount Eliza Primary School,Primary,Mount Eliza,3930
