Name,Suburb,School Level
ADAM ROAD PRIMARY SCHOOL,SOUTH BUNBURY,PRIMARY SCHOOLS
AL-HIDAYAH ISLAMIC SCHOOL,BENTLEY,NON-GOVERNMENT
ALBANY COMMUNITY KINDERGARTEN,ALBANY,COMMUNITY KINDERGARTENS
ALBANY PRIMARY SCHOOL,ALBANY,PRIMARY SCHOOLS
ALBANY SECONDARY EDUCATION SUPPORT CENTRE,ALBANY,EDUCATION SUPPORT
ALBANY SENIOR HIGH SCHOOL,ALBANY,SECONDARY SCHOOLS
ALINJARRA PRIMARY SCHOOL,ALEXANDER HEIGHTS,PRIMARY SCHOOLS
ALKIMOS BAPTIST COLLEGE,MERRIWA,NON-GOVERNMENT
ALKIMOS BEACH PRIMARY SCHOOL,ALKIMOS,PRIMARY SCHOOLS
ALKIMOS PRIMARY SCHOOL,ALKIMOS,PRIMARY SCHOOLS
ALL SAINTS' COLLEGE,BULL CREEK,NON-GOVERNMENT
ALLANSON PRIMARY SCHOOL,ALLANSON,PRIMARY SCHOOLS
ALLENDALE PRIMARY SCHOOL,GERALDTON,PRIMARY SCHOOLS
ALTA-1,WANGARA,NON-GOVERNMENT
AMAROO PRIMARY SCHOOL,COLLIE,PRIMARY SCHOOLS
ANNE HAMERSLEY PRIMARY SCHOOL,ELLENBROOK,PRIMARY SCHOOLS
ANZAC TERRACE PRIMARY SCHOOL,BASSENDEAN,PRIMARY SCHOOLS
APPLECROSS PRIMARY SCHOOL,APPLECROSS,PRIMARY SCHOOLS
APPLECROSS SENIOR HIGH SCHOOL,ARDROSS,SECONDARY SCHOOLS
AQUINAS COLLEGE,SALTER POINT,NON-GOVERNMENT
ARANMORE CATHOLIC COLLEGE,LEEDERVILLE,NON-GOVERNMENT
ARANMORE CATHOLIC PRIMARY SCHOOL,LEEDERVILLE,NON-GOVERNMENT
ARBOR GROVE PRIMARY SCHOOL,ELLENBROOK,PRIMARY SCHOOLS
ARDROSS PRIMARY SCHOOL,ARDROSS,PRIMARY SCHOOLS
